CANAL	DETALLE_CANAL	FECHA_CONCERTACION	OFICINA_CITA	FECHA_ATENCION	TAREA	ATENDIDA
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	08/05/2017	OAC CHAMARTIN	08/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	03/05/2017	OAC CHAMARTIN	04/05/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Telefonico	10	16/10/2017	OAC CHAMARTIN	19/10/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Telefonico	10	01/08/2017	OFICINA GESTION DE MULTAS	03/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	03/08/2017	OFICINA GESTION DE MULTAS	10/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	19/09/2017	OAC CENTRO	28/09/2017	PADRON	No
Telefonico	10	17/10/2017	OAC ARGANZUELA	25/10/2017	PADRON	No
Telefonico	10	01/08/2017	VIVERO CARABANCHEL	02/08/2017	ASESORAMIENTO  EMPRESARIAL	Si
Telefonico	10	18/09/2017	OAC CIUDAD LINEAL	28/09/2017	MADRIDMAYOR ES	No
Telefonico	10	18/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	19/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	19/09/2017	OAC CIUDAD LINEAL	28/09/2017	PADRON	No
Telefonico	10	17/10/2017	OAC RETIRO	19/10/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Telefonico	10	03/08/2017	OAIC ALCALA 45	11/09/2017	EJECUTIVA	No
Telefonico	10	17/10/2017	OAIC ALCALA 45	18/10/2017	EJECUTIVA	Si
Telefonico	10	16/10/2017	OAIC ALCALA 45	16/10/2017	IBI/CATASTRO	Si
Telefonico	10	16/10/2017	OAIC ALCALA 45	25/10/2017	IBI/CATASTRO	No
Telefonico	10	17/10/2017	OAIC ALCALA 45	25/10/2017	IBI/CATASTRO	Si
Telefonico	10	19/09/2017	OAC TETUAN	28/09/2017	PADRON	Si
Telefonico	10	19/09/2017	OAC TETUAN	28/09/2017	CAMBIO DOMICILIO PERMISO CIRCULACION/CONDUCCION	Si
Telefonico	10	19/09/2017	OAC TETUAN	28/09/2017	PADRON	Si
Telefonico	10	19/09/2017	OAC TETUAN	28/09/2017	PADRON	Si
Telefonico	10	17/10/2017	OAC ARGANZUELA	19/10/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Telefonico	10	01/08/2017	OAIC ALCALA 45	03/08/2017	PLUSVALIA	Si
Telefonico	10	02/08/2017	OAIC ALCALA 45	17/08/2017	EJECUTIVA	Si
Telefonico	10	02/08/2017	OAIC ALCALA 45	03/08/2017	CERTIFICADO CATASTRAL - PIC	Si
Telefonico	10	02/08/2017	OAIC ALCALA 45	14/08/2017	PLUSVALIA	Si
Telefonico	10	01/08/2017	OAIC ALCALA 45	10/08/2017	PLUSVALIA	Si
Telefonico	10	03/08/2017	OAIC ALCALA 45	22/08/2017	PLUSVALIA	No
Telefonico	10	19/09/2017	OAC SALAMANCA	28/09/2017	PADRON	No
Telefonico	10	03/08/2017	PUNTO DE ATENCION EL QUEROL	25/10/2017	RECURSOS DE MAYORES	No
Telefonico	10	17/10/2017	OAC CENTRO	26/10/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Telefonico	10	16/10/2017	OAC CENTRO	31/10/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Telefonico	10	17/10/2017	OAC CENTRO	30/10/2017	TARJETA AZUL	No
Telefonico	10	16/10/2017	OAC CENTRO	18/10/2017	PADRON	Si
Telefonico	10	01/08/2017	OMIC HORTALEZA	17/08/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	MADRIDMAYOR ES	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	MADRIDMAYOR ES	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	TARJETA AZUL	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	PADRON	No
Telefonico	10	18/09/2017	OAC CHAMBERI	28/09/2017	PADRON	No
Telefonico	10	01/08/2017	OAC PUENTE DE VALLECAS-NUMANCIA	07/08/2017	PADRON	Si
Telefonico	10	02/08/2017	OAC PUENTE DE VALLECAS-NUMANCIA	07/08/2017	PADRON	Si
Telefonico	10	02/08/2017	OAC PUENTE DE VALLECAS-NUMANCIA	07/08/2017	PADRON	No
Telefonico	10	02/08/2017	OAC PUENTE DE VALLECAS-NUMANCIA	08/08/2017	PADRON	No
Telefonico	10	03/08/2017	OAC PUENTE DE VALLECAS-NUMANCIA	08/08/2017	PADRON	No
Telefonico	10	28/07/2017	OAC PUENTE DE VALLECAS-NUMANCIA	02/08/2017	PADRON	Si
Telefonico	10	02/08/2017	AZ PUENTE DE VALLECAS	18/08/2017	EMPLEO POR CUENTA AJENA INFORMACION Y ORIENTACION	Si
Telefonico	10	01/08/2017	CSS ZAIDA	10/08/2017	PRESTACIONES SOCIALES	No
Telefonico	10	31/07/2017	OAC SAN BLAS-CANILLEJAS	03/08/2017	IDENTIFICACION ELECTRONICA	Si
Telefonico	10	16/10/2017	OAIC SACRAMENTO	26/10/2017	PLUSVALIA	Si
Telefonico	10	31/07/2017	OAC SAN BLAS-CANILLEJAS	04/08/2017	PADRON	No
Telefonico	10	17/10/2017	OAIC SACRAMENTO	31/10/2017	PLUSVALIA	Si
Telefonico	10	01/08/2017	OAC SAN BLAS-CANILLEJAS	07/08/2017	PADRON	Si
